SrNum,Original_Time,Type,Dir,PatNum,From,To,CCGa,CCGd,MCTa,MCTd,DDRa,DDRd,BAa,BAd,ADHa,ADHd,GMNa,GMNd,BVIa,BVId,BYRa,BYRd,BSRa,BSRd,VRa,VRd,DRDa,DRDd,Optimized_Start_Time
3,480,fast,UP,PAT065,VR,ADH,,,,,,,,,525.0,,,,510.0,510.0,498.0,498.0,489.0,489.0,,480.0,,,480.0
10,480,fast,UP,PAT058,ADH,CCG,503.0,,,,494.0,494.0,489.0,489.0,,480.0,,,,,,,,,,,,,480.0
12,487,fast,UP,PAT065,VR,ADH,,,,,,,,,532.0,,,,517.0,517.0,505.0,505.0,496.0,496.0,,487.0,,,487.0
14,493,fast,UP,PAT065,VR,ADH,,,,,,,,,538.0,,,,523.0,523.0,511.0,511.0,502.0,502.0,,493.0,,,493.0
15,495,fast,UP,PAT058,ADH,CCG,518.0,,,,509.0,509.0,504.0,504.0,,495.0,,,,,,,,,,,,,495.0
18,500,fast,UP,PAT065,VR,ADH,,,,,,,,,545.0,,,,530.0,530.0,518.0,518.0,509.0,509.0,,500.0,,,500.0
20,507,slow,UP,PAT027,VR,BA,,,,,,,557.0,,545.0,545.0,538.0,538.0,530.0,530.0,523.0,523.0,517.0,517.0,,507.0,,,507.0
33,520,fast,UP,PAT054,VR,CCG,588.0,,,,579.0,579.0,574.0,574.0,565.0,565.0,,,550.0,550.0,538.0,538.0,529.0,529.0,,520.0,,,520.0
34,520,slow,UP,PAT015,VR,DDR,,,,,578.0,,570.0,570.0,558.0,558.0,551.0,551.0,543.0,543.0,536.0,536.0,530.0,530.0,,520.0,,,520.0
30,513,slow,UP,PAT055,VR,CCG,602.0,,596.0,596.0,585.0,585.0,577.0,577.0,565.0,565.0,558.0,558.0,550.0,550.0,543.0,543.0,537.0,537.0,,527.0,,,527.0
45,540,slow,UP,PAT057,BYR,CCG,599.0,,593.0,593.0,582.0,582.0,574.0,574.0,562.0,562.0,555.0,555.0,547.0,547.0,,540.0,,,,,,,540.0
