SrNum,Time,Type,Dir,PatNum,From,To,CCGa,CCGd,MCTa,MCTd,DDRa,DDRd,BAa,BAd,ADHa,ADHd,GMNa,GMNd,BVIa,BVId,BYRa,BYRd,BSRa,BSRd,VRa,VRd,DRDa,DRDd,Optimized_Start_Time
1,480,slow,DOWN,PAT038,ADH,BVI,,,,,,,,,,480.0,487.0,487.0,498.0,,,,,,,,,,480.0
6,480,slow,DOWN,PAT041,CCG,ADH,,480.0,486.0,486.0,497.0,497.0,505.0,505.0,517.0,,,,,,,,,,,,,,480.0
8,480,fast,DOWN,PAT062,DDR,BVI,,,,,,480.0,485.0,485.0,494.0,494.0,,,509.0,,,,,,,,,,480.0
9,480,fast,DOWN,PAT036,ADH,BYR,,,,,,,,,,480.0,,,495.0,495.0,507.0,,,,,,,,480.0
4,480,slow,DOWN,PAT028,DDR,BVI,,,,,,483.0,491.0,491.0,503.0,503.0,510.0,510.0,521.0,,,,,,,,,,483.0
5,480,fast,DOWN,PAT044,CCG,BVI,,498.0,,,507.0,507.0,512.0,512.0,521.0,521.0,,,536.0,,,,,,,,,,498.0
16,500,slow,DOWN,PAT021,ADH,VR,,,,,,,,,,500.0,507.0,507.0,518.0,518.0,522.0,522.0,529.0,529.0,538.0,,,,500.0
19,500,fast,DOWN,PAT048,CCG,BYR,,508.0,,,517.0,517.0,522.0,522.0,531.0,531.0,,,546.0,546.0,558.0,,,,,,,,508.0
24,510,slow,DOWN,PAT028,DDR,BVI,,,,,,510.0,518.0,518.0,530.0,530.0,537.0,537.0,548.0,,,,,,,,,,510.0
35,520,slow,DOWN,PAT021,ADH,VR,,,,,,,,,,520.0,527.0,527.0,538.0,538.0,542.0,542.0,549.0,549.0,558.0,,,,520.0
23,510,fast,DOWN,PAT034,DDR,BYR,,,,,,520.0,525.0,525.0,534.0,534.0,,,549.0,549.0,561.0,,,,,,,,520.0
25,510,fast,DOWN,PAT020,ADH,VR,,,,,,,,,,524.0,,,539.0,539.0,551.0,551.0,560.0,560.0,569.0,,,,524.0
32,520,fast,DOWN,PAT018,CCG,VR,,525.0,,,534.0,534.0,539.0,539.0,548.0,548.0,,,563.0,563.0,575.0,575.0,584.0,584.0,593.0,,,,525.0
26,510,slow,DOWN,PAT043,CCG,BVI,,529.0,535.0,535.0,546.0,546.0,554.0,554.0,566.0,566.0,573.0,573.0,584.0,,,,,,,,,,529.0
42,540,fast,DOWN,PAT023,DDR,VR,,,,,,540.0,545.0,545.0,554.0,554.0,,,569.0,569.0,581.0,581.0,590.0,590.0,599.0,,,,540.0
43,540,slow,DOWN,PAT019,CCG,VR,,540.0,546.0,546.0,557.0,557.0,565.0,565.0,577.0,577.0,584.0,584.0,595.0,595.0,599.0,599.0,606.0,606.0,615.0,,,,540.0
47,540,slow,DOWN,PAT021,ADH,VR,,,,,,,,,,540.0,547.0,547.0,558.0,558.0,562.0,562.0,569.0,569.0,578.0,,,,540.0
49,540,slow,DOWN,PAT024,DDR,VR,,,,,,543.0,551.0,551.0,563.0,563.0,570.0,570.0,581.0,581.0,585.0,585.0,592.0,592.0,601.0,,,,543.0
48,540,fast,DOWN,PAT020,ADH,VR,,,,,,,,,,551.0,,,566.0,566.0,578.0,578.0,587.0,587.0,596.0,,,,551.0
44,540,fast,DOWN,PAT018,CCG,VR,,553.0,,,562.0,562.0,567.0,567.0,576.0,576.0,,,591.0,591.0,603.0,603.0,612.0,612.0,621.0,,,,553.0
